Disease,Symptoms
COPD,"Prolonged expiration, pursed-lip breathing and shortness of breath (especially significant) together with chest tightness, producing mucus and bluish lips or fingernails in conjunction with wheezing, chronic bronchitis and fatigue (especially worsening with exertion)."
Heart Failure,"Initially presenting with orthopnea, S3 heart sound, swollen legs, Subsequently developing rapid heartbeat, persistent cough, need to sleep upright."
COPD,"Initially presenting with persistent cough, decreased breath sounds, shortness of breath, Finally developing difficulty completing sentences, wheezing, difficulty breathing."
COVID-19 Pneumonia,"Mild fever (generally high), linked to dry cough, mild myalgia, multi-organ dysfunction, critical headache, ageusia."
Heart Failure,"Worsening, moderate shortness of breath, occasionally severe swollen ankles, severe fatigue, remarkably moderate jugular vein distention, remarkably severe loss of appetite, chest congestion."
COPD,"Initially presenting with chest tightness, wheezing, persistent cough, Finally developing difficulty breathing, limited airflow, use of accessory muscles for breathing."
COVID-19 Pneumonia,"High dry cough, fatigue, persistent loss of smell, persistent fever, loss of taste, myalgia, body aches, asymptomatic diarrhea."
Tuberculosis,"Coughing up blood (apparently significant) correlated with night sweats coupled with malaise, worse with activity."
Pneumothorax,"Severe rapid breathing, severe sudden sharp chest pain, severe racing heart rate, severe shortness of breath, acute hypotension, absent breath sounds, acute reduced chest movement on affected side."
COVID-19 Pneumonia,"Severe fatigue, loss of smell, silent hypoxemia, multi-organ dysfunction with mild shortness of breath, sore throat, dizziness."
Pneumothorax,"Immediately after injury, significantly life-threatening racing heart rate, sudden sharp chest pain, evidently life-threatening reduced chest movement on affected side."
Heart Failure,"Rapid heartbeat and swollen ankles (generally moderate) connected with nausea and swollen legs connected with ascites and fatigue (generally mild) coinciding with swollen abdomen, episodic."
Pleural Effusion,"Initially presenting with reduced tactile fremitus, mediastinal shift, unilateral symptoms, Subsequently developing fever, positional dyspnea, orthopnea."
Pleural Effusion,"Severe chest pain, positional dyspnea with mild fever, periodic."
Pneumonia,"Chronic, shortness of breath, persistent difficulty breathing, chest pain, intermittent cough, persistent fever, malaise, persistent wheezing, disrupting sleep."
Pleural Effusion,"Severe dry cough, cyanosis with mild chest pain, difficulty breathing when lying down, fever, periodic."
Pneumonia,"Low-grade shortness of breath (predominantly low-grade), linked to intermittent fever, cough, chest pain, cyanosis, intermittent sweating, weakness, worse at night."
Pleural Effusion,"Minimal fever (clearly minimal), accompanied by moderate shortness of breath, mild difficulty breathing when lying down, stony dullness, pleurisy, minimal decreased breath sounds, reduced tactile fremitus, precipitated by allergens."
Tuberculosis,"Persistent weight loss, night sweats, bone pain, enlarged lymph nodes, chills, chest tightness, swollen lymph nodes, pleural effusion, amplified by stress, lasting over 3 weeks."
COVID-19 Pneumonia,"Recent onset, severe fever, persistent loss of taste, persistent vomiting, mild diarrhea, severe low oxygen saturation, impairing functional capacity."
COVID-19 Pneumonia,"Progressive, moderate loss of taste, mainly asymptomatic shortness of breath, fever, strikingly mild fatigue, mainly moderate loss of smell, mainly moderate confusion, mainly mild COVID toes, asymptomatic vomiting."
Lung Cancer,"Concerning coughing up blood (notably concerning), in combination with chest pain, persistent cough, shortness of breath, extreme weight loss, extreme neurological symptoms, extreme unexplained anemia, bronchial obstruction, concerning unexplained fever."
Tuberculosis,"Persistent, fever, commonly moderate persistent cough, particularly concerning loss of appetite, anemia symptoms, particularly moderate pale skin, precipitated by allergens."
Tuberculosis,"Slowly progressing, moderate coughing up blood, extreme night sweats, occasionally progressive fatigue, characteristically extreme pain with breathing, chest tightness, precipitated by allergens."
Tuberculosis,"Initially presenting with fever, pain with breathing, unintended weight loss, Eventually developing malaise, weight loss."
Pneumothorax,"Iatrogenic, significantly sudden sudden sharp chest pain, intense shortness of breath, commonly intense rapid breathing, commonly life-threatening hypoxemia."
COPD,"Initially presenting with chest tightness, wheezing, persistent cough, Later developing difficulty breathing, pursed-lip breathing."
Tuberculosis,"Moderate persistent cough, chronic night sweats, weight loss, fever, persistent coughing up blood, enlarged lymph nodes, feverish at night, anemia symptoms, moderate hemoptysis, fatigue, gradually worsening."
Tuberculosis,"Persistent, consistently persistent weight loss, extreme coughing up blood, moderate persistent cough, especially extreme fever, extreme night sweats, persistent feverish at night, consistently extreme bone pain, especially moderate weakness, increased with movement."
COVID-19 Pneumonia,"Severe loss of taste, body aches, diarrhea, multi-organ dysfunction, ageusia with mild fever, dizziness."
Tuberculosis,"Fever and night sweats related to persistent cough and weight loss connected with bone pain and coughing up blood (commonly severe), worsened by lying flat."
Pneumonia,"Initially presenting with chest pain, shortness of breath, difficulty breathing, Ultimately developing wheezing, fever, cough."
COVID-19 Pneumonia,"Fever, correlated with critical fatigue, nausea, worsening diarrhea, worsening chest pain, chills, increased with movement, disrupting sleep."
COVID-19 Pneumonia,"Initially presenting with dry cough, loss of smell, loss of taste, Finally developing ground glass opacities on imaging, post-exertional malaise, fatigue."
Heart Failure,"Recurring, worsening fatigue, swollen ankles, rapid heartbeat, clearly worsening swollen legs, shortness of breath, worsening wheezing, typically severe reduced exercise tolerance, particularly severe decreased alertness, constraining movement."
COPD,"Exacerbation, persistent cough, during activity chest tightness, during activity wheezing, shortness of breath, end-stage decreased breath sounds, remarkably during activity difficulty completing sentences, during activity recurring pneumonia."
Pneumothorax,Unilateral chest pain and shortness of breath (apparently stabbing) related to increased respiratory rate and reduced chest movement on affected side (consistently intense) together with sudden sharp chest pain and tracheal deviation.
COPD,"Worsening over years, severe persistent cough, chronic chest tightness, mainly severe morning cough, distant heart sounds, mainly severe swollen ankles."
Pleural Effusion,"Initially presenting with dyspnea, pleuritic pain, difficulty breathing when lying down, Later developing rapid breathing, rapid heart rate, dullness on percussion."
Pneumothorax,"Hypotension accompanied by chest pressure in combination with shortness of breath simultaneous with rapid breathing together with racing heart rate, precipitated by allergens."
COPD,"Worsening over years, worsening with exertion difficulty breathing, persistent cough, end-stage prolonged expiration, use of accessory muscles for breathing, especially end-stage cyanosis."
Pleural Effusion,"Chest pain, severe dry cough, significant shortness of breath, fever, significant cough on exertion, decreased breath sounds, worsening respiratory distress, cyanosis, dyspnea, dullness on percussion."
COPD,"Significant chest tightness (consistently severe), in combination with severe wheezing, difficulty breathing, severe shortness of breath, persistent cough, producing mucus, severe hyperinflated lungs, frequent respiratory infections, fatigue."
Pneumonia,"Chest pain and shallow breathing coupled with sweating and weakness in conjunction with productive cough and fever, constant, provoked by deep breathing."
